people.person.ethnicity	is of	0.79	4.011
people.person.ethnicity	is an ethnic	0.96	3.051
people.person.ethnicity	was an ethnic	0.95	2.738
people.person.ethnicity	was of	0.69	2.440
people.person.ethnicity	was born into a	0.62	2.307
people.person.ethnicity	was born to a	0.57	2.272
people.person.ethnicity	who would be the first	1.00	2.079
people.person.ethnicity	recalled that many	1.00	1.609
people.person.ethnicity	naming mistreatment of	1.00	1.609
people.person.ethnicity	led a band of	1.00	1.609
people.person.ethnicity	is from a	1.00	1.609
people.person.ethnicity	was born in a	0.51	1.581
people.person.ethnicity	was a chief of the	0.86	1.536
people.person.ethnicity	who was of	0.75	1.344
people.person.ethnicity	was born into a poor	0.83	1.341
people.person.ethnicity	united the	0.83	1.341
people.person.ethnicity	who is of	0.62	1.280
people.person.ethnicity	grew up in a	0.58	1.135
people.person.ethnicity	was born of the	0.80	1.109
people.person.ethnicity	is the first person of	1.00	1.099
people.person.nationality	was an	0.72	7.00
people.person.nationality	is an	0.64	6.39
people.person.nationality	emigrated to the	0.92	5.30
people.person.nationality	was a	0.53	5.25
people.person.nationality	is a	0.50	5.23
people.person.nationality	immigrated to the	0.92	4.70
people.person.nationality	became a naturalized citizen of the	0.93	3.62
people.person.nationality	is a former professional tennis player from	0.90	3.59
people.person.nationality	is a professional footballer from	0.86	3.57
people.person.nationality	immigrated to	0.73	3.54
people.person.nationality	emigrated to	0.60	3.30
people.person.nationality	is a list a cricketer from	1.00	3.22
people.person.nationality	is a professional	0.55	3.21
people.person.nationality	became a naturalized	0.89	3.16
people.person.nationality	is a former professional tennis player from the	0.88	3.15
people.person.nationality	is a former racing driver from	0.81	3.12
people.person.nationality	was a prolific	0.75	3.08
people.person.nationality	also holds	0.93	3.07
people.person.nationality	toured the	0.80	3.06
people.person.nationality	came to the	0.63	3.00
people.person.parents	was the son of	0.94	7.52
people.person.parents	was the eldest son of	0.98	6.34
people.person.parents	was the daughter of	0.94	6.20
people.person.parents	was a son of	0.96	6.09
people.person.parents	was the second son of	0.96	5.96
people.person.parents	is the son of	0.86	5.88
people.person.parents	was a daughter of	0.95	5.67
people.person.parents	was the third son of	0.99	5.36
people.person.parents	is the daughter of	0.85	5.06
people.person.parents	was son of	0.96	4.68
people.person.parents	was the youngest son of	0.95	4.67
people.person.parents	was the eldest daughter of	0.97	4.62
people.person.parents	was the fourth son of	0.97	4.55
people.person.parents	was the only son of	0.93	4.44
people.person.parents	was the oldest son of	0.97	4.28
people.person.parents	was the second daughter of	1.00	4.16
people.person.parents	was a younger son of	0.99	4.16
people.person.parents	was the younger son of	0.95	4.11
people.person.parents	was born to	0.73	3.95
people.person.parents	was the fifth son of	1.00	3.87
people.person.place_of_birth	was born in	0.73	8.44
people.person.place_of_birth	was born at	0.86	7.44
people.person.place_of_birth	was born near	0.78	4.80
people.person.place_of_birth	is a native of	0.73	4.43
people.person.place_of_birth	was born in the	0.66	4.34
people.person.place_of_birth	grew up in	0.54	4.23
people.person.place_of_birth	was born on	0.81	4.15
people.person.place_of_birth	born in	0.68	4.13
people.person.place_of_birth	was a native of	0.66	4.01
people.person.place_of_birth	who was born in	0.65	3.98
people.person.place_of_birth	is originally from	0.71	3.61
people.person.place_of_birth	is a beauty queen from	0.78	3.60
people.person.place_of_birth	was born on the	0.91	3.58
people.person.place_of_birth	hails from	0.68	3.40
people.person.place_of_birth	is from	0.56	3.40
people.person.place_of_birth	is a gaelic footballer from	0.97	3.39
people.person.place_of_birth	was born at the	0.77	3.30
people.person.place_of_birth	was born in rural	0.82	3.29
people.person.place_of_birth	was born	0.62	3.11
people.person.place_of_birth	is a former sumo wrestler from	0.75	2.93
people.person.religion	converted to	0.88	4.97
people.person.religion	was a devout	0.96	3.18
people.person.religion	embraced	0.77	2.62
people.person.religion	had converted to	1.00	2.56
people.person.religion	who converted to	0.86	2.13
people.person.religion	was raised as a	0.86	2.13
people.person.religion	was raised a	0.86	2.13
people.person.religion	converted from	0.91	2.09
people.person.religion	later converted to	1.00	2.08
people.person.religion	was raised	0.69	2.07
people.person.religion	was ordained as a	0.90	1.98
people.person.religion	is a devout	0.90	1.98
people.person.religion	who had converted to	1.00	1.95
people.person.religion	was a bishop of the	1.00	1.61
people.person.religion	eventually converted to	1.00	1.61
people.person.religion	converted back to	1.00	1.61
people.person.religion	was converted to	0.50	1.42
people.person.religion	was baptized into the	1.00	1.39
people.person.religion	patronised	1.00	1.39
people.person.religion	was received into the	0.80	1.11
people.person.spouse_s..people.marriage.spouse	married	0.90	7.97
people.person.spouse_s..people.marriage.spouse	was married to	0.90	6.32
people.person.spouse_s..people.marriage.spouse	married actress	0.96	6.05
people.person.spouse_s..people.marriage.spouse	is married to	0.85	5.63
people.person.spouse_s..people.marriage.spouse	married actor	0.95	5.61
people.person.spouse_s..people.marriage.spouse	was the wife of	0.93	5.32
people.person.spouse_s..people.marriage.spouse	who married	0.90	4.83
people.person.spouse_s..people.marriage.spouse	was the second wife of	0.98	4.45
people.person.spouse_s..people.marriage.spouse	divorced	0.86	4.41
people.person.spouse_s..people.marriage.spouse	was the first wife of	0.96	4.31
people.person.spouse_s..people.marriage.spouse	had married	0.89	4.26
people.person.spouse_s..people.marriage.spouse	who was married to	0.94	4.20
people.person.spouse_s..people.marriage.spouse	later married	0.95	4.17
people.person.spouse_s..people.marriage.spouse	married NAT actress	0.97	4.10
people.person.spouse_s..people.marriage.spouse	wed	0.98	3.99
people.person.spouse_s..people.marriage.spouse	met	0.55	3.88
people.person.spouse_s..people.marriage.spouse	married director	1.00	3.87
people.person.spouse_s..people.marriage.spouse	married NAT actor	0.98	3.86
people.person.spouse_s..people.marriage.spouse	has been married to	0.85	3.82
people.person.spouse_s..people.marriage.spouse	was the husband of	0.95	3.78
sports.pro_athlete.teams..sports.sports_team_roster.team	signed for	0.91	7.10
sports.pro_athlete.teams..sports.sports_team_roster.team	signed with the	0.81	6.22
sports.pro_athlete.teams..sports.sports_team_roster.team	was loaned to	0.95	6.17
sports.pro_athlete.teams..sports.sports_team_roster.team	currently plays for	0.90	5.97
sports.pro_athlete.teams..sports.sports_team_roster.team	was traded to the	0.74	5.46
sports.pro_athlete.teams..sports.sports_team_roster.team	was signed by	0.82	5.45
sports.pro_athlete.teams..sports.sports_team_roster.team	signed a minor league contract with the	0.99	5.30
sports.pro_athlete.teams..sports.sports_team_roster.team	was signed by the	0.72	5.21
sports.pro_athlete.teams..sports.sports_team_roster.team	previously played for the	0.93	5.12
sports.pro_athlete.teams..sports.sports_team_roster.team	was traded to	0.93	5.08
