american_football.football_coach.coaching_history	"Coaching history"
american_football.football_coach.current_team_head_coached	"Current team head coached"
american_football.football_coach_position.coaches_holding_this_position	"Coaches holding this position"
american_football.football_conference.divisions	"Divisions"
american_football.football_conference.league	"League"
american_football.football_conference.teams	"Teams"
american_football.football_division.conference	"Conference"
american_football.football_division.teams	"Teams"
american_football.football_game.away_team	"Away Team"
american_football.football_game.date	"Date"
american_football.football_game.game_scores	"Game Scores"
american_football.football_game.home_team	"Home Team"
american_football.football_game.passing	"Passing"
american_football.football_game.receiving	"Receiving"
american_football.football_game.rushing	"Rushing"
american_football.football_game.season	"Season"
american_football.football_game_score.game	"Game"
american_football.football_game_score.score	"Score"
american_football.football_game_score.team	"Team"
american_football.football_historical_coach_position.coach	"Coach"
american_football.football_historical_coach_position.from	"From"
american_football.football_historical_coach_position.position	"Position"
american_football.football_historical_coach_position.team	"Team"
american_football.football_historical_coach_position.to	"To"
american_football.football_player.databasefootball_id	"databaseFootball.com ID"
american_football.football_player.football_almanac_id	"Football Almanac ID"
american_football.football_player.footballdb_id	"footballdb ID"
american_football.football_player.forty_yard_dash_time	"40-yard dash time"
american_football.football_player.games	"Games"
american_football.football_player.passing	"Passing"
american_football.football_player.position_s	"Position(s)"
american_football.football_player.receiving	"Receiving"
american_football.football_player.rushing	"Rushing"
american_football.football_position.players	"Players"
american_football.football_team.away_games	"Away Games"
american_football.football_team.conference	"Conference"
american_football.football_team.current_head_coach	"Current head coach"
american_football.football_team.current_roster	"Current Roster"
american_football.football_team.division	"Division"
american_football.football_team.historical_coaching_staff	"Historical coaching staff"
american_football.football_team.historical_roster	"Historical roster"
american_football.football_team.home_games	"Home Games"
american_football.forty_yard_dash_time.date	"Date"
american_football.forty_yard_dash_time.time	"Time"
american_football.game_passing_statistics.attempts	"Attempts"
american_football.game_passing_statistics.completions	"Completions"
american_football.game_passing_statistics.game	"Game"
american_football.game_passing_statistics.interceptions	"Interceptions"
american_football.game_passing_statistics.longest_completion	"Longest Completion"
american_football.game_passing_statistics.player	"Player"
american_football.game_passing_statistics.rating	"Rating"
american_football.game_passing_statistics.sacks	"Sacks"
american_football.game_passing_statistics.team	"Team"
american_football.game_passing_statistics.touchdown_on_longest_pass	"Touchdown on Longest Pass"
american_football.game_passing_statistics.touchdowns	"Touchdowns"
american_football.game_passing_statistics.yards	"Yards"
