american_football.football_coach	"American football head coach"
american_football.football_coach_position	"American football coach position"
american_football.football_conference	"American football conference"
american_football.football_division	"American football division"
american_football.football_game	"American football game"
american_football.football_game_score	"American football game score"
american_football.football_historical_coach_position	"American football historical coach position"
american_football.football_player	"American football player"
american_football.football_scoring_event	"Football Scoring Event"
american_football.football_team	"American football team"
american_football.forty_yard_dash_time	"Forty-yard dash time"
american_football.game_passing_statistics	"Game Passing Statistics"
american_football.game_receiving_statistics	"Game Receiving Statistics"
american_football.game_rushing_statistics	"Game Rushing Statistics"
american_football.nfl_game	"NFL Game"
american_football.player_game_statistics	"Player Game Statistics"
american_football.player_passing_statistics	"Player Passing Statistics"
american_football.player_receiving_statistics	"Player Receiving Statistics"
american_football.player_rushing_statistics	"Player Rushing Statistics"
american_football.scoreboard_quarter	"Scoreboard Quarter"
american_football.super_bowl	"Super bowl"
amusement_parks.accident	"Amusement Ride Accident"
amusement_parks.amusement_park_area	"Amusement Park Area"
amusement_parks.disney_ride	"Disney Ride"
amusement_parks.disney_ride_ticket	"Disney Ride Ticket"
amusement_parks.disney_ride_ticket_membership	"Disney Ride Ticket Membership"
amusement_parks.park	"Amusement Park"
amusement_parks.ride	"Amusement Ride"
amusement_parks.ride_designer	"Amusement Ride Designer"
amusement_parks.ride_manufacturer	"Amusement Ride Manufacturer"
amusement_parks.ride_theme	"Amusement Ride Theme"
amusement_parks.ride_type	"Amusement Ride Type"
amusement_parks.roller_coaster	"Roller Coaster"
amusement_parks.roller_coaster_material	"Roller Coaster Material"
amusement_parks.roller_coaster_propulsion_system	"Roller Coaster Propulsion System"
amusement_parks.roller_coaster_train_configuration	"Roller Coaster Train Configuration"
architecture.architect	"Architect"
architecture.architectural_contractor	"Architectural contractor"
architecture.architectural_structure_owner	"Architectural structure owner"
architecture.architectural_style	"Architectural style"
architecture.architecture_firm	"Architecture firm"
architecture.architecture_firm_partners	"Architecture firm partner"
architecture.building	"Building"
architecture.building_complex	"Building complex"
architecture.building_complex_function	"Building complex function"
architecture.building_function	"Building function"
architecture.building_occupant	"Building Occupant"
architecture.civil_engineer	"Civil engineer"
architecture.destruction_method	"Destruction method"
architecture.engineer	"Engineer"
architecture.engineering_firm	"Engineering firm"
architecture.house	"House"
architecture.landscape_architect	"Landscape architect"
architecture.landscape_project	"Landscape project"
architecture.light_attributes	"Light attributes"
architecture.light_characteristic	"Light characteristic"
architecture.light_color_range	"Light color range"
architecture.light_sequence	"Light sequence"
architecture.lighthouse	"Lighthouse"
architecture.lighthouse_construction_material	"Lighthouse construction material"
architecture.museum	"Museum"
architecture.museum_director	"Museum director"
architecture.occupancy	"Occupancy"
architecture.ownership	"Ownership"
architecture.skyscraper	"Skyscraper"
architecture.structural_engineer	"Structural engineer"
architecture.structure	"Structure"
architecture.tower	"Tower"
architecture.tower_shape	"Tower shape"
architecture.type_of_museum	"Type of museum"
architecture.unrealized_design	"Unrealized design"
architecture.venue	"Venue"
astronomy.apparent_dimension	"Apparent dimension"
astronomy.apparent_mass	"Apparent mass"
astronomy.asterism	"Asterism"
astronomy.asteroid	"Asteroid"
astronomy.asteroid_family	"Asteroid Family"
astronomy.asteroid_group	"Asteroid Group"
astronomy.asteroid_spectral_type	"Asteroid Spectral Type"
astronomy.astronomer	"Astronomer"
astronomy.astronomical_discovery	"Astronomical Discovery"
astronomy.astronomical_discovery_status	"Astronomical Discovery Status"
astronomy.astronomical_discovery_technique	"Astronomical Discovery Technique"
astronomy.astronomical_observatory	"Astronomical Observatory"
astronomy.astronomical_survey_project_organization	"Astronomical Survey/Project Organization"
astronomy.celestial_object	"Celestial Object"
astronomy.celestial_object_age	"Celestial object age"
astronomy.celestial_object_category	"Celestial object category"
astronomy.celestial_object_with_coordinate_system	"Celestial object with coordinate system"
astronomy.comet	"Comet"
astronomy.comet_group	"Comet group"
astronomy.constellation	"Constellation"
astronomy.constellation_bordering_relationship	"Constellation bordering relationship"
astronomy.dwarf_planet	"Dwarf Planet"
astronomy.extraterrestrial_location	"Extraterrestrial location"
astronomy.galactic_cluster	"Galactic cluster"
astronomy.galactic_filament	"Galactic filament"
astronomy.galactic_group	"Galactic group"
astronomy.galactic_interaction	"Galactic interaction"
astronomy.galactic_interaction_status	"Galactic interaction status"
astronomy.galactic_interaction_type	"Galactic interaction type"
astronomy.galactic_shape	"Galactic shape"
astronomy.galactic_super_cluster	"Galactic supercluster"
astronomy.galaxy	"Galaxy"
astronomy.galaxy_classification_code	"Galaxy classification code"
astronomy.meteor_shower	"Meteor Shower"
astronomy.meteor_shower_occurrence	"Meteor Shower Observation"
astronomy.meteoric_composition	"Meteorite classfication"
astronomy.meteorite	"Meteorite"
astronomy.meteorite_source	"Meteorite Source"
astronomy.moon	"Moon"
astronomy.near_earth_object	"Near-Earth Object"
astronomy.near_earth_object_classification	"Near-Earth Object Classification"
astronomy.nebula	"Nebula"
astronomy.number_of_stars	"Number of stars"
astronomy.orbit_type	"Orbit Type"
astronomy.orbital_relationship	"Orbital Relationship"
astronomy.planet	"Planet"
astronomy.planetographic_coordinate	"Planetographic Coordinate"
astronomy.planetographic_coordinate_system	"Planetographic coordinate system"
astronomy.plutoid	"Plutoid"
astronomy.red_shift	"Red shift"
astronomy.satellite_galaxy	"Satellite galaxy"
astronomy.scattered_disc_object	"Scattered Disc Object"
astronomy.spectral_type	"Spectral Type"
astronomy.star	"Star"
astronomy.star_system	"Star System"
astronomy.star_system_body	"Star system body"
astronomy.supernova	"Supernova"
astronomy.telescope	"Telescope"
astronomy.telescope_platform	"Telescope platform"
astronomy.telescope_principle_type	"Telescope principle type"
astronomy.telescope_type	"Telescope type"
astronomy.trans_neptunian_object	"Trans-Neptunian Object"
astronomy.trans_neptunian_region	"Trans-Neptunian region"
astronomy.type_of_planetographic_feature	"Type of planetographic feature"
atom.feed	"Feed"
atom.feed_category	"Feed Category"
atom.feed_item	"Feed Item"
atom.feed_link	"Feed Link"
atom.feed_person	"Feed Person"
automotive.automotive_class	"Automotive Class"
automotive.body_style	"Body Style"
automotive.cargo_bed	"Cargo Bed"
automotive.company	"Automobile Company"
automotive.designer	"Automotive Designer"
automotive.driveline	"Driveline"
automotive.engine	"Engine"
automotive.engine_type	"Engine Type"
automotive.exterior_color	"Exterior Color"
automotive.fuel	"Fuel"
automotive.fuel_delivery_method	"Fuel Delivery Method"
automotive.generation	"Automobile generation"
automotive.make	"Automobile Make"
automotive.manufacturing_plant	"Manufacturing Plant"
automotive.manufacturing_plant_model_relationship	"Manufacturing Plant-Model Relationship"
automotive.model	"Automobile Model"
automotive.model_year	"Automobile Model Year"
automotive.opt_trim_relationship	"Option/Trim Relationship"
automotive.option	"Option"
automotive.option_package	"Option Package"
automotive.platform	"Platform"
automotive.privately_owned_vehicle	"Privately Owned Vehicle"
automotive.similar_automobile_models	"Similar automobile models"
automotive.transmission	"Transmission"
automotive.transmission_type	"Transmission Classification"
automotive.trim_level	"Trim Level"
automotive.truck_trim_level	"Truck Trim Level"
